,Course Code,Course,EOS_2017_7_6
431,WD010,Electronic Engineering,194.0
432,WD011,Mechanical Engineering,198.0
433,WD013,Legal Studies,191.0
434,WD018,Applied Social Studies in Social Care,195.0
435,WD019,Recreation and Sport Management,213.0
436,WD040,Building Services Engineering,235.0
437,WD076,Forestry,207.0
438,WD094,Architectural Technology,209.0
439,WD096,Horticulture (Waterford - Kildalton),191.0
440,WD097,Horticulture (Dublin - National Botanic Gardens),219.0
441,WD126,Agriculture,349.0
442,WD139,Civil Engineering,203.0
443,WD151,Software Systems Development,197.0
444,WD153,Multimedia Applications Development,190.0
445,WD155,Information Technology,190.0
446,WD159,Business,204.0
447,WD164,Food Science with Business,233.0
448,WD172,Culinary Arts,196.0
449,WD173,Hospitality Studies,197.0
450,WD174,Tourism,190.0
451,WD175,Pharmaceutical Science,225.0
452,WD176,Applied Biology,242.0
453,WD177,Science (Agricultural Applied Biology Food Pharmaceutical),357.0
454,WD182,Electrical Engineering,196.0
455,WD184,Retail Management,190.0
456,WD188,Applied Health Care,249.0
