Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
GY406,Electronic and Computer Engineering,510,510,544,8
GY408,Biomedical Engineering,509,509,554,8
GY410,Project and Construction Management,403,403,456,8
GY413,Energy Systems Engineering,502,502,531,8
GY414,Electrical and Electronic Engineering,405,405,429,8
GY501,"Medicine (five year/six year course, HPAT required)",728,728,731,8
GY502,Occupational Therapy,555,555,567,8
GY503,Speech and Language Therapy,543,543,554,8
GY504,Podiatric Medicine,443,443,476,8
GY515,General Nursing (Galway and Portiuncula),476,473,496,8
GY516,Mental Health Nursing,440,440,467,8
GY517,Midwifery,495,495,518,8
ID001,Accounting and Finance,203,203,253,8
ID002,Business Studies,294,294,309,8
LC110,"Art and Design (Common Entry, portfolio)",740,740,961,8
LC114,Fashion and Textiles for Product and Costume (portfolio),880,880,1029,8
LC115,Art and Design Teacher Education (portfolio),942,942,1013,8
LC220,Digital Marketing,262,262,298,8
LC223,Law and Taxation,307,307,356,8
LC224,Accounting and Finance,300,300,371,8
LC225,Marketing and Management,298,298,358,8
LC226,Enterprise and Innovation,234,234,310,8
LC233,Software Development,272,272,339,8
LC234,Interactive Digital Media,225,225,307,8
LC236,Internet Systems Development,262,260,272,8
LC239,Computer Networks and Systems Management,307,309,371,8
LC241,Construction Management,255,255,338,8
LC242,Property Valuation and Management,282,282,320,8
LC243,Quantity Surveying,294,298,362,8
LC248,Built Environment (Common Entry),288,288,376,8
LC252,Civil Engineering Management,270,270,308,8
LC263,Clinical Technology,294,294,359,8
LC265,Forensic and Pharmaceutical Sciences,413,413,476,8
LC266,Drug and Medicinal Product Analysis,262,262,300,8
LC275,Electrical Engineering,298,298,384,8
LC288,Mechanical Engineering,347,346,415,8
LC289,Precision Engineering,291,291,350,8
LC292,Social Care Work,367,367,389,8
LC293,Business Studies with Travel and Tourism Management,307,307,356,8
LC294,Business Studies with Event Management,279,279,347,8
LC295,Business Studies with Sports Management,252,252,313,8
LC297,Community Development,235,235,298,8
LC320,Business,346,346,388,8
LC330,Business with Computing,297,297,378,8
LC340,Interior Design,350,350,391,8
LC362,Biotechnology and Biopharmaceutical Sciences,413,413,440,8
LC371,Creative Broadcast and Film Production,309,309,378,8
LC372,Music Technology and Production,325,325,402,8
LC374,Renewable and Electrical Energy Engineering,318,318,410,8
LC375,Industrial Automation and Robotic Systems,317,317,392,8
LC376,Electronic Engineering,318,318,358,8
LC380,Automotive Engineering and Transport Management,303,298,337,8
LC392,Business Studies in Beauty and Spa Management,236,236,328,8
LC393,Early Childhood Education and Care,236,236,307,8
LC401,Early Childhood Education and Care,297,297,298,8
LC402,Social Care Work,225,225,288,8
LC408,Environmental Science and Climate,279,279,348,8
LC414,Data Analytics and Cyber Security,236,236,336,8
LC416,Business,274,274,391,8
LC418,Computing - Games Design and Development,270,270,338,8
LC422,Sports Strength and Conditioning,298,298,347,8
LC434,Environmental Science and Agriculture,297,297,349,8
LC502,Game Art and Design (portfolio),852,852,1024,8
LC517,Creative Media and Design,234,234,327,8
LC518,Digital Animation Production (portfolio),808,808,939,8
LC612,Social Care Work,320,320,343,8
LC613,Early Childhood Education and Care,242,242,327,8
LM002,Arts,348,348,410,8
LM020,Law and Accounting,465,465,499,8
LM026,Performing Arts (audition required),303,303,401,8
LM028,Criminal Justice,418,418,440,8
LM029,Law Plus,490,490,521,8
LM038,Psychology and Sociology,500,500,507,8
LM039,Journalism and Digital Communication,402,402,455,8
LM040,European Studies,369,369,488,8
LM044,Applied Languages,442,442,499,8
LM050,Business Studies (options),431,431,476,8
LM056,International Business,528,528,555,8
LM058,Financial Mathematics,403,403,521,8
LM063,Technology Management,379,379,419,8
LM068,Food Science and Health,421,421,454,8
LM076,Product Design and Technology (portfolio required),408,408,487,8
LM077,Aeronautical Engineering,520,520,554,8
LM082,Construction Management and Engineering,398,398,434,8
LM089,Sport and Exercise Sciences,474,474,489,8
LM090,Physical Education with concurrent Teacher Education,532,532,565,8
LM091,Languages with concurrent Teacher Education,517,517,543,8
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,507,531,8
LM093,Equine Science,339,339,412,8
LM094,Materials and Architectural Technology with concurrent Teacher Education,440,440,478,8
LM095,Materials and Engineering Technology with concurrent Teacher Education,367,367,421,8
