,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020
640,GY101,Arts (Joint-Honours),300,300,391
641,GY104,Arts (Psychology),523,519,542
642,GY105,Arts (History),301,301,377
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,409,456
644,GY109,Arts (Mathematics and Education),403,403,466
645,GY110,Arts with Children`s Studies,357,357,418
646,GY111,Arts with Creative Writing,330,330,492
647,GY112,Arts with Film Studies,321,321,399
648,GY113,Arts with Human Rights,368,368,422
649,GY115,Arts with Performing Arts Studies,387,387,443
650,GY118,"Arts (Drama, Theatre and Performance Studies)",451,451,492
651,GY119,Arts (Journalism),400,400,465
652,GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,350,397
653,GY121,Arts (Children`s Studies),356,356,419
654,GY122,Na Dána (Cumarsáid agus Gaeilge),361,361,453
655,GY123,Applied Social Sciences,358,358,410
656,GY124,Arts (Arts with Data Science),454,454,490
657,GY125,Arts (Digital Arts and Technology),328,328,347
658,GY126,Arts (English and Media Studies),391,391,462
659,GY127,Arts (Film and Digital Media),401,401,462
660,GY128,Arts (Global Languages),352,352,476
661,GY129,Arts (International),420,420,462
662,GY130,Arts (Music),408,408,495
663,GY131,Arts (History and Globalisation Studies),360,360,440
664,GY132,"Government (Politics, Economics and Law)",407,407,435
665,GY133,Education (Computer Science and Mathematical Studies),422,422,498
666,GY134,Geography and Geosystems,410,410,445
667,GY201,Commerce,433,433,466
668,GY202,Commerce (International) with French,484,484,511
669,GY203,Commerce (International) with German,489,489,566
670,GY204,Commerce (International) with Spanish,495,495,511
671,GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,465,488
672,GY207,Commerce (Accounting) including optional Global Experience year,509,509,543
673,GY208,Commerce (Gaeilge),473,473,511
674,GY209,Commerce (Global Experience),530,530,554
675,GY250,Law and Business,487,487,510
676,GY251,Law (BCL),499,499,518
677,GY252,Law (BCL) and Human Rights,520,520,541
678,GY253,Law and Taxation,509,509,543
679,GY254,"Law (BCL), Criminology and Criminal Justice",530,530,554
680,GY261,"Business Studies (International Hotel Management, interview)",497,497,611
681,GY262,"Commerce (International Hotel Management, interview)",681,681,724
682,GY301,Science,433,432,487
683,GY303,Biomedical Science,556,556,589
684,GY304,Biotechnology,465,465,498
685,GY308,Environmental Science,408,408,484
686,GY309,Financial Mathematics and Economics,487,487,532
687,GY310,Marine Science,419,419,476
688,GY313,Environmental Health and Safety,412,412,440
689,GY314,Earth and Ocean Sciences,403,403,444
690,GY318,Biopharmaceutical Chemistry,509,509,542
691,GY319,Mathematical Science,476,476,566
692,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,402,478
693,GY321,Genetics and Genomics,508,508,532
694,GY350,Computer Science and Information Technology,403,403,454
695,GY401,Engineering (Undenominated),465,465,511
696,GY402,Civil Engineering,455,455,499
697,GY405,Mechanical Engineering,454,454,509
698,GY406,Electronic and Computer Engineering,510,510,544
699,GY408,Biomedical Engineering,509,509,554
700,GY410,Project and Construction Management,403,403,456
701,GY413,Energy Systems Engineering,502,502,531
702,GY414,Electrical and Electronic Engineering,405,405,429
703,GY501,"Medicine (five year/six year course, HPAT required)",728,728,731
704,GY502,Occupational Therapy,555,555,567
705,GY503,Speech and Language Therapy,543,543,554
706,GY504,Podiatric Medicine,443,443,476
707,GY515,General Nursing (Galway and Portiuncula),476,473,496
708,GY516,Mental Health Nursing,440,440,467
709,GY517,Midwifery,495,495,518
710,ID001,Accounting and Finance,203,203,253
711,ID002,Business Studies,294,294,309
712,LC110,"Art and Design (Common Entry, portfolio)",740,740,961
713,LC114,Fashion and Textiles for Product and Costume (portfolio),880,880,1029
714,LC115,Art and Design Teacher Education (portfolio),942,942,1013
715,LC220,Digital Marketing,262,262,298
716,LC221,Accounting and Finance,241,251,489
717,LC222,Marketing and Management,270,270,405
718,LC223,Law and Taxation,307,307,356
719,LC224,Accounting and Finance,300,300,371
720,LC225,Marketing and Management,298,298,358
721,LC226,Enterprise and Innovation,234,234,310
722,LC228,Sports Development and Coaching,205,205,341
723,LC230,Business with Computing,217,217,386
724,LC233,Software Development,272,272,339
725,LC234,Interactive Digital Media,225,225,307
726,LC235,Internet Systems Development,205,205,315
727,LC236,Internet Systems Development,262,260,272
728,LC239,Computer Networks and Systems Management,307,309,371
729,LC241,Construction Management,255,255,338
730,LC242,Property Valuation and Management,282,282,320
731,LC243,Quantity Surveying,294,298,362
732,LC248,Built Environment (Common Entry),288,288,376
733,LC251,Civil Engineering,206,206,377
734,LC252,Civil Engineering Management,270,270,308
735,LC257,Interior Design,264,264,378
736,LC260,Applied Biology,326,326,466
737,LC263,Clinical Technology,294,294,359
738,LC265,Forensic and Pharmaceutical Sciences,413,413,476
739,LC266,Drug and Medicinal Product Analysis,262,262,300
740,LC267,Forensic and Pharmaceutical Sciences,329,329,443
741,LC268,Medical Technology,289,289,411
742,LC270,Music Technology and Production,307,307,398
743,LC271,Electrical Engineering,261,261,348
744,LC275,Electrical Engineering,298,298,384
745,LC276,Creative Broadcast and Film Production,297,297,409
746,LC277,Industrial Automation and Robotic Systems,232,232,342
747,LC278,Renewable and Electrical Energy Engineering,280,280,387
748,LC279,Electronic Engineering,214,226,392
749,LC281,Automobile Technology,208,208,332
750,LC283,Precision Engineering,227,233,296
751,LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",200,200,315
752,LC285,Mechanical Engineering,272,272,455
753,LC286,Road Transport Technology and Management,264,264,360
754,LC288,Mechanical Engineering,347,346,415
755,LC289,Precision Engineering,291,291,350
756,LC290,Community Sport Development,188,188,312
757,LC292,Social Care Work,367,367,389
758,LC293,Business Studies with Travel and Tourism Management,307,307,356
759,LC294,Business Studies with Event Management,279,279,347
760,LC295,Business Studies with Sports Management,252,252,313
761,LC297,Community Development,235,235,298
762,LC320,Business,346,346,388
763,LC330,Business with Computing,297,297,378
764,LC336,Computing,207,222,337
765,LC340,Interior Design,350,350,391
766,LC362,Biotechnology and Biopharmaceutical Sciences,413,413,440
767,LC371,Creative Broadcast and Film Production,309,309,378
768,LC372,Music Technology and Production,325,325,402
769,LC374,Renewable and Electrical Energy Engineering,318,318,410
770,LC375,Industrial Automation and Robotic Systems,317,317,392
771,LC376,Electronic Engineering,318,318,358
772,LC380,Automotive Engineering and Transport Management,303,298,337
773,LC392,Business Studies in Beauty and Spa Management,236,236,328
774,LC393,Early Childhood Education and Care,236,236,307
775,LC398,Culinary Arts,163,163,376
776,LC399,Hospitality Supervision,148,148,300
777,LC401,Early Childhood Education and Care,297,297,298
778,LC402,Social Care Work,225,225,288
779,LC408,Environmental Science and Climate,279,279,348
780,LC414,Data Analytics and Cyber Security,236,236,336
781,LC415,Business,197,197,444
782,LC416,Business,274,274,391
783,LC418,Computing - Games Design and Development,270,270,338
784,LC422,Sports Strength and Conditioning,298,298,347
785,LC423,Sports Strength and Conditioning,157,157,330
786,LC425,Environmental Science,278,278,399
787,LC428,Environmental Science and Agriculture,278,278,429
788,LC432,Early Childhood Education and Care,144,144,367
789,LC434,Environmental Science and Agriculture,297,297,349
790,LC502,Game Art and Design (portfolio),852,852,1024
