,Course Code,Course,EOS_2018
326,DT546,Fine Art,668
327,DT555,International Business and Languages,353
328,DT559,Photography,700
329,DT571,Social Care,394
330,DT572,Early Childhood Education,385
331,DT582,Journalism,347
332,DT596,Print Media Technology and Management,252
333,DT597,Creative and Cultural Industries,280
334,DL821,English, Media and Cultural Studies
335,DL822,Arts Management,209
336,DL823,Business Studies - Entrepreneurship and Management,260
337,DL825,Applied Psychology,349
338,DL826,Visual Communication Design,736
339,DL827,Art,583
340,DL828,3D Design, Modelmaking and Digital Art
341,DL829,Design for Stage and Screen (Costume Design),817
342,DL830,Design for Stage and Screen (Makeup Design),879
343,DL831,Design for Stage and Screen (Production Design),893
344,DL832,Animation,855
345,DL833,Photography,636
346,DL834,Film and Television Production,933
347,DL835,Creative Media Technologies,237
348,DL836,Creative Computing,217
349,DL837,New Media Studies,290
350,DL838,Creative Music Production,746
351,GC200,Business Studies (Cork),269
352,GC201,Accounting and Finance (Cork),251
353,GC230,Computing Science (Cork),228
354,GC300,Business Studies (Limerick),251
355,GC301,Accounting and Finance,307
356,GC302,Business Studies - (HRM, Limerick)
357,GC305,International Hospitality Management (Limerick),327
358,GC400,Business Studies (Dublin),246
359,GC401,Accounting and Finance (Dublin),181
360,GC402,Business Studies (HRM, Dublin)
361,GC403,Law (Dublin),225
362,GC405,International Hospitality Management (Dublin),254
363,GC407,Business Studies (Marketing, Dublin)
364,GC430,Computing Science (Dublin),217
365,GC450,Journalism and Visual Media (Dublin),227
366,GC462,Design Communication (Dublin),
367,GC489,Interior Architecture (Dublin),267
368,GC494,Fashion Design (Dublin),
369,ID001,Accounting and Finance,229
370,ID002,Business Studies,285
371,ID003,Business Studies with Chinese,
372,BN101,Business,252
373,BN103,Business and Information Technology,254
374,BN104,Computing (Information Technology),260
375,BN107,Applied Social Studies in Social Care,300
376,BN108,Engineering (Common Entry with Award options),271
377,BN109,Business (Common Entry with Award options),260
378,BN110,International Business,253
379,BN111,Sports Management and Coaching,270
380,BN112,Creative Digital Media,280
381,BN113,Horticulture,289
382,BN114,Accounting and Finance,280
383,BN115,Community and Youth Development,250
384,BN117,Computer Engineering in Mobile Systems,273
385,BN118,Early Childhood Care and Education,290
386,BN119,Digital Marketing,270
387,BN120,Digital Forensics and Cyber Security,281
388,BN121,Mechatronic Engineering,276
389,BN123,Design,Technology and Innovation
390,TA022,Creative Digital Media,260
